,Question,Correct Answer,Wrong Choices
1,The 1987 Constitution was ratified on:,"February 2, 1987","February 25, 1986, January 17, 1973, June 12, 1898"
2,Which branch of government is responsible for the execution and administration of laws?,Executive,"Judiciary, Legislative, Administrative"
3,The power of the State to take private property for public use upon payment of just compensation is:,Eminent Domain,"Taxation, Police Power, Escheat"
4,"According to RA 6713, public officials must file their SALN within how many days after assumption of office?",30 days,"15 days, 60 days, 90 days"
5,The right to be informed of one's right to remain silent and to have competent counsel is known as:,Miranda Rights,"Writ of Amparo, Habeas Corpus, Due Process"
6,What is the national language of the Philippines according to 1987 Phil Constitution article XIV section 6?,Filipino,"Pilipino, Tagalog, English, Both Tagalog & Filipino"
7,What do you call the introductory part of the Constitution?,Preamble,"Preface, Amendments, Bill of Rights"
8,What form of government does the Philippines adopt?,Both Republican and Democratic,"Republican, Democratic, Neither Republican nor Democratic"
9,Who among the following may issue a warrant of arrest or a search warrant?,A judge,"A senator, A congressman, The President"
10,A foreigner may acquire Filipino citizenship through _,Naturalization,"Extradition, Rebirth, Visa application"
11,"What is regarded by the State as a ""primary social economic force?""",labor,"education, trade, commerce"
12,"According to Article III, Section 15 of the Constitution, the writ of habeas corpus may be suspended in times of rebellion or what?",invasion,"martial law, war, terrorism"
13,The Lower Chamber of the Congress of the Philippines is known by what name?,House of Representatives,"Senate, Congressional Lower Chamber, National Assembly"
14,"A Member of either house of Congress may be expelled by their fellow Members. For a Member to be expelled, how much of the total number of Members of a house must concur with the expulsion?",two-thirds,"majority, three-fourths, nine-tenths"
15,"If a President wishes to veto a bill, he/she must communicate it within a certain span of time, otherwise the bill will become a law. How long is this span of time?",30 days,"3 weeks, 48 days, 60 days"
16,"At present, how many percent of the population of the Philippines are aliens?",30%,"25%, 40%, 50%, 70%"
17,What project of the DENR that includes the protection of Industrial pollution of our Environment?,Solid Waste Management,"Bantay Kalikasan, Bantay Ilog, Bantay Dagat, Ecological Watch"
18,What government agency thus the status of government employee in the free voluntary services belong?,Barangay,"Secretary, Regional, Municipal, National"
19,"Which is not a ground for Impeachment of the Pres., Vice-Pres., Ombudsman, and Senator?",against the Family if the child scolded by the parents,"graft and corruption, sexual harassment, grave abuse of the authority, Other crimes"
20,"What is the ground for impeachment of the Pres., Vice-Pres., Ombudsman, and Senator?",culpable violation of the Constitution,"sexual harassment, heinous crime, grave abuse of the authority, graft and corruption"
21,The official motto used in 30th Southeast Asian Games is what?,We Win As One,"We Care As One, We Play As One, We Will As One, We Work As One"
22,"On August 16, 2018, the government announced at least _ Philippine holidays for 2019 as declared by virtue of Proclamation No. 555, series of 2018.",18,"16, 19, 15, 14"
23,Which of the following statements best describes the relationship between global warming ozone depletion?,Ozone depletion contributes to global warming.,"Global warming causes ozone depletion., Ozone depletion and global warming have nothing to do with each other., Excessive build-up of carbon dioxide causes both global warming and ozone depletion."
24,It is only Philippine province with an English name.,Mountain Province,"Cebu, General Santos, Zambales"
