Numerical_Ability_Index,Numerical Ability,Answers,Wrong Answers (from choices)
1,"5, 25, 7, _ , 9, 19",22," 23, 25, 32, None of The Above"
2,"62, 64, _ , 32, 14, 16",30," 26,28, 32, None of The Above"
3,"100, 50, 52, 26, 28, _ ",14," 30,  32,  16,  None of The Above"
4,"980, 392, 156.8, _ , 25.088, 10.0352",62.72," 63.85,  65.04,  60.28,  None of The Above"
5,"113, 225, 449, _ , 1793",897," 789,  786,  987,  None of The Above"
6,"5, 9, 21, 37, 81, _ ",153," 163,  181,  203,  None of The Above"
7,"2, 10, 30, 68, _ ",130," 126,  140,  150,  None of The Above"
8,"45, 46, 70, 141, _ , 1061.5",353.5," 353,  352.5,  352,  None of The Above"
9,"33, 321, 465, 537, 573, _ ",591," 600,  585,  498,  None of The Above"
10,"2, 9, 30, 105, 436, 2195, _ ",13182," 25,  27,  30,  33,  None of The Above"
11,"4, 6, 14, 44, _ , 892",178," 176,  172,  1821,  None of The Above"
12,"126, 64, 34, 20, 14, _ ",12," 14,  16,  18,  None of The Above"
13,"16, 8, 12, 30, _ , 472.5",105," 100,  205,  300,  None of The Above"
14,"25, 34, 30, 39, 35, _ ",44," 45,  46,  50,  None of The Above"
15,"5, 40, 8, 56, 7, 63, 9, _ ",45," 35,  40,  42,  None of The Above"
16,"32, _ , 92, 134, 184",58," 55,  38,  45,  None of The Above"
17,"11, 16, 26, _ , 86",46," 56,  76,  86,  None of The Above"
18,"198, 194, 185, 169, _ ",144," 154,  165,  134,  None of The Above"
19,"9050, 5675, 3478, 2147, _ ",1418," 3478,  2428,  3678,  None of The Above"
20,"5, 17, 37, 65, _ , 145",101," 95,  99,  97,  None of The Above"
21,"95, 115.5, 138, _ , 189",162.5," 154.5,  164.5,  166.5,  None of The Above"
22,"3, 4.5, 9, 22.5, 67.5, _ , 945",236.25," 265.25,  225.36,  150,  None of The Above"
23,"8544, 1420, 280, _ , 18, 5",66," 33,  44,  56,  None of The Above"
24,"812, 398, _ , 90, 40, 16",192," 182,  172,  162,  None of The Above"
25,"6072, _ , 200, 48, 14, 5, 3",1010," 1008,  1001,  1005,  None of The Above"
26,"200, 165, 148, _ , 104, 77, 68",117," 115,  116,  118,  None of The Above"
27,"445, 221, 109, _ , 25, 11, 4",53," 46,  57,  59,  None of The Above"
28,"-1/2, 0, 1/2, _ , 3/2, 2",1," 1/2,  2/3,  3/4,  None of The Above"
